;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DataType;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;-;;DataType;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;-
BucketSort;109;436;-;-;1009;4036;-;-;10009;40036;-;-;100009;400036;-;-;69460;;BucketSort;0,00000109;0,00000436;#VALUE!;#VALUE!;0,00001009;0,00004036;#VALUE!;#VALUE!;0,00010009;0,00040036;#VALUE!;#VALUE!;0,00100009;0,00400036;#VALUE!;#VALUE!;#VALUE!
RadixSort;665;112;-;-;59821;2037;-;-;5631344;153393;-;-;561429284;15076512;-;-;72794146;;RadixSort;0,00000665;0,00000112;#VALUE!;#VALUE!;0,00059821;0,00002037;#VALUE!;#VALUE!;0,05631344;0,00153393;#VALUE!;#VALUE!;5,61429284;0,15076512;#VALUE!;#VALUE!;#VALUE!
IntroSort;264;278;272;278;4078;4358;4377;4358;54377;60462;59886;60547;699173;773135;771476;772056;204335,9375;;IntroSort;0,00000264;0,00000278;0,00000272;0,00000278;0,00004078;0,00004358;0,00004377;0,00004358;0,00054377;0,00060462;0,00059886;0,00060547;0,00699173;0,00773135;0,00771476;0,00772056;0,002043359
TimSort;667;707;751;723;63273;66563;65647;66783;5702648;6396374;6339734;6301002;562472260;628493194;626607025;626694175;154329470,4;;TimSort;0,00000667;0,00000707;0,00000751;0,00000723;0,00063273;0,00066563;0,00065647;0,00066783;0,05702648;0,06396374;0,06339734;0,06301002;5,6247226;6,28493194;6,26607025;6,26694175;1,543294704
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DataType;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;-;;DataType;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;-
ListSize;50;50;50;50;500;500;500;500;5000;5000;5000;5000;50000;50000;50000;50000;AVG;;ListSize;50;50;50;50;500;500;500;500;5000;5000;5000;5000;50000;50000;50000;50000;AVG
InsertionSort;288;832;832;0;31250;62500;62500;93750;4000000;7000000;4000000;6000000;624966667;486105555;416633334;763894443;144553246,9;;InsertionSort;0,00000288;0,00000832;0,00000832;0;0,0003125;0,000625;0,000625;0,0009375;0,04;0,07;0,04;0,06;6,24966667;4,86105555;4,16633334;7,63894443;1,445532469
BubbleSort;697;1089;1089;49;54999;93874;93874;117124;10500499;10500499;8001999;10500499;937487500;1111088889;937487500;1111088889;258563691,8;;BubbleSort;0,00000697;0,00001089;0,00001089;0,00000049;0,00054999;0,00093874;0,00093874;0,00117124;0,10500499;0,10500499;0,08001999;0,10500499;9,374875;11,11088889;9,374875;11,11088889;2,585636918
ShakerSort;1072;1147;1147;49;93625;93874;93874;124750;8001999;11998000;8001999;11998000;1111088889;1111072222;1111072222;1111155547;280299901;;ShakerSort;0,00001072;0,00001147;0,00001147;0,00000049;0,00093625;0,00093874;0,00093874;0,0012475;0,08001999;0,11998;0,08001999;0,11998;11,11088889;11,11072222;11,11072222;11,11155547;2,80299901
